Algorithm,Seed,Data Size,Runtime,Theoretical Big-O
MergeSort,260,1000,0.0013630829998874106,0
QuickSort,260,1000,0.0009302499984187307,0
InsertionSort,260,1000,0.014299083999503637,0
ShellSort1,260,1000,0.004775250001330278,0
ShellSort2,260,1000,0.003938292000384536,0
BucketSort,260,1000,0.0003174169996782439,0
RadixSort,260,1000,0.0005663749998348067,0
CustomSort1,260,1000,0.0018511250000301516,0
CustomSort2,260,1000,0.0010719580004661111,0
MergeSort,883,1000,0.0013792079989798367,0
QuickSort,883,1000,0.000932083999941824,0
InsertionSort,883,1000,0.014800666998780798,0
ShellSort1,883,1000,0.0049347089989169035,0
ShellSort2,883,1000,0.0031642920002923347,0
BucketSort,883,1000,0.0001483329997427063,0
RadixSort,883,1000,0.0005664999989676289,0
CustomSort1,883,1000,0.0018648750010470394,0
CustomSort2,883,1000,0.0010903750007855706,0
MergeSort,464,1000,0.0013442920007946668,0
QuickSort,464,1000,0.0009615839990146924,0
InsertionSort,464,1000,0.014613375000408269,0
ShellSort1,464,1000,0.005052417000115383,0
ShellSort2,464,1000,0.003520959000525181,0
BucketSort,464,1000,0.00014366600044013467,0
RadixSort,464,1000,0.00043037499926867895,0
CustomSort1,464,1000,0.0018555410006229067,0
CustomSort2,464,1000,0.0010965830006171018,0
MergeSort,893,1000,0.0014103749999776483,0
QuickSort,893,1000,0.0010429169997223653,0
InsertionSort,893,1000,0.014465124999333057,0
ShellSort1,893,1000,0.005030084001191426,0
ShellSort2,893,1000,0.0037529999990510987,0
BucketSort,893,1000,0.00014387500050361268,0
RadixSort,893,1000,0.0005582499998126877,0
CustomSort1,893,1000,0.0018440829990140628,0
CustomSort2,893,1000,0.0011044160000892589,0
MergeSort,942,1000,0.0013612090006063227,0
QuickSort,942,1000,0.0010572079991106875,0
InsertionSort,942,1000,0.014281917001426336,0
ShellSort1,942,1000,0.005013791000237688,0
ShellSort2,942,1000,0.0031045830000948627,0
BucketSort,942,1000,0.0001447909999114927,0
RadixSort,942,1000,0.0005540410002140561,0
CustomSort1,942,1000,0.001846417000706424,0
CustomSort2,942,1000,0.001075374999345513,0
MergeSort,260,2000,0.00294341700100631,0
QuickSort,260,2000,0.0020835840005020145,0
InsertionSort,260,2000,0.06238083300013386,0
ShellSort1,260,2000,0.018693500000154017,0
ShellSort2,260,2000,0.009292457998526515,0
BucketSort,260,2000,0.00030183300077624153,0
RadixSort,260,2000,0.0010942919998342404,0
CustomSort1,260,2000,0.0058423339996807044,0
CustomSort2,260,2000,0.00243462499929592,0
MergeSort,883,2000,0.0030041250010981457,0
QuickSort,883,2000,0.002132833000359824,0
InsertionSort,883,2000,0.06224120799925004,0
ShellSort1,883,2000,0.01929624999866064,0
ShellSort2,883,2000,0.010657625000021653,0
BucketSort,883,2000,0.0003290409986220766,0
RadixSort,883,2000,0.0011868750007124618,0
CustomSort1,883,2000,0.006081249999624561,0
CustomSort2,883,2000,0.0026265420001436723,0
MergeSort,464,2000,0.003062834000957082,0
QuickSort,464,2000,0.0021260000012262026,0
InsertionSort,464,2000,0.06243479099975957,0
ShellSort1,464,2000,0.01924795900049503,0
ShellSort2,464,2000,0.011860084001455107,0
BucketSort,464,2000,0.00034533400139480364,0
RadixSort,464,2000,0.001219166999362642,0
CustomSort1,464,2000,0.005995416000587284,0
CustomSort2,464,2000,0.002491000001100474,0
MergeSort,893,2000,0.0031047920001583407,0
QuickSort,893,2000,0.002135374999852502,0
InsertionSort,893,2000,0.06302362499991432,0
ShellSort1,893,2000,0.019051375000344706,0
ShellSort2,893,2000,0.010670499999832828,0
BucketSort,893,2000,0.0003342500003782334,0
RadixSort,893,2000,0.0011334589999023592,0
CustomSort1,893,2000,0.005836540998643613,0
CustomSort2,893,2000,0.002556499999627704,0
MergeSort,942,2000,0.002949166000689729,0
QuickSort,942,2000,0.0020917080000799615,0
InsertionSort,942,2000,0.06140995900022972,0
ShellSort1,942,2000,0.019560125001589768,0
ShellSort2,942,2000,0.009024417000546237,0
BucketSort,942,2000,0.0003025420010089874,0
RadixSort,942,2000,0.0011089999989053467,0
CustomSort1,942,2000,0.0058796249995793914,0
CustomSort2,942,2000,0.0024362500007555354,0
MergeSort,260,4000,0.00634212499971909,0
QuickSort,260,4000,0.004789999999047723,0
InsertionSort,260,4000,0.2500627080007689,0
ShellSort1,260,4000,0.0760954170000332,0
ShellSort2,260,4000,0.028893583999888506,0
BucketSort,260,4000,0.0004861249999521533,0
