Algo,Data Size,Observed Runtime,Ratio,Emp Big-O
Merge,1000,0.00135807500009828,,
Merge,2000,0.00296777499970624,2.185280635820165,1.1278185638942568
Merge,4000,0.00635340859953424,2.1407986118095614,1.0981490855837386
Merge,8000,0.013435800199658798,2.1147388821559123,1.0804795372576688
Merge,16000,0.02868237500006212,2.1347723673942776,1.0940822422392922
Quick,1000,0.00098329979955446,,
Quick,2000,0.00218344999921096,2.2205333512732297,1.1509062400080914
Quick,4000,0.00499607519996056,2.288156450464177,1.1941856983541852
Quick,8000,0.012188775000322439,2.4396700434810628,1.2866860417133394
Quick,16000,0.031077866800114824,2.5497120751915348,1.3503343407523096
Insertion,1000,0.014235333400574701,,
Insertion,2000,0.059808816999793554,4.201434228254815,2.070881899505865
Insertion,4000,0.23757878340038582,3.9723036722362504,1.9899759173483667
Insertion,8000,0.9597315252001863,4.039634816981001,2.0142248792287214
Insertion,16000,3.8639371081997522,4.026060420797149,2.0093688235583884
Shell731,1000,0.00491982480016298,,
Shell731,2000,0.018753616399771942,3.811846389154079,1.930489982293264
Shell731,4000,0.07215490859962298,3.847519702946491,1.9439287145379978
Shell731,8000,0.2806524335999711,3.889581998603454,1.959615121549615
Shell731,16000,1.1135726250002336,3.967799639989825,1.9883391765082639
Shell1000,1000,0.00339330820024764,,
Shell1000,2000,0.01019192480016494,3.0035364307377512,1.586662162824243
Shell1000,4000,0.028034391400069518,2.7506473948488934,1.4597712126069753
Shell1000,8000,0.0785364503997698,2.801432329277355,1.4861646435960862
Shell1000,16000,0.22077950839993715,2.8111724845739183,1.4911719755984305
Bucket,1000,0.00016597520007048,,
Bucket,2000,0.00030788359945285997,1.8549976100171577,0.8914173280759354
Bucket,4000,0.00199373339964944,6.475607675084039,2.695015582558939
Bucket,8000,0.0008654920005937399,0.4341061852833083,-1.2038801161712915
Bucket,16000,0.00161115859991692,1.8615522717848831,0.8965061271676926
Radix,1000,0.00054369180033968,,
Radix,2000,0.00113063339995274,2.0795483751021426,1.0562702457961053
Radix,4000,0.00222609159973214,1.9688889429811554,0.9773817369738611
Radix,8000,0.004393424999943761,1.9736047701147656,0.9808331076845004
Radix,16000,0.0087822579997009,1.9989548017351653,0.9992458517475091
Binary Insertion,1000,0.00188780840035172,,
Binary Insertion,2000,0.00583585839995064,3.091340412969533,1.6282325299844917
Binary Insertion,4000,0.0211053999999421,3.6165031009183863,1.8545953886801658
Binary Insertion,8000,0.09080654999961549,4.302526841465435,2.1051841925974446
Binary Insertion,16000,0.38252653299969097,4.212543401343964,2.0746915502900207
Simple Tim,1000,0.00110605820009364,,
Simple Tim,2000,0.0024610583997854802,2.2250713385399834,1.1538515914084615
Simple Tim,4000,0.005390166800134421,2.190182403068638,1.1310510255544544
Simple Tim,8000,0.01160645819945778,2.153265127002811,1.1065259664457618
Simple Tim,16000,0.025034558199695262,2.15695070532928,1.1089932057104044
