Algorithm,Seed,Data Size,Runtime,Theoretical Big-O
MergeSort,260,1000,0.001351458000499406,0
QuickSort,260,1000,0.0009153329992841464,0
InsertionSort,260,1000,0.014076541001486476,0
ShellSort1,260,1000,0.004828208000617451,0
ShellSort2,260,1000,0.0037051250001240987,0
BucketSort,260,1000,0.00022050000006856862,0
RadixSort,260,1000,0.0005739589996665018,0
CustomSort1,260,1000,0.0018624580006871838,0
CustomSort2,260,1000,0.001103708000300685,0
MergeSort,883,1000,0.0013387500002863817,0
QuickSort,883,1000,0.0009376250000059372,0
InsertionSort,883,1000,0.014323792000141111,0
ShellSort1,883,1000,0.004828125000130967,0
ShellSort2,883,1000,0.003035499999896274,0
BucketSort,883,1000,0.00014766700041946024,0
RadixSort,883,1000,0.000559208001504885,0
CustomSort1,883,1000,0.0018888340000557946,0
CustomSort2,883,1000,0.0011139170001115417,0
MergeSort,464,1000,0.0013556249996327097,0
QuickSort,464,1000,0.0009791249995032558,0
InsertionSort,464,1000,0.014258999999583466,0
ShellSort1,464,1000,0.004879166999671725,0
ShellSort2,464,1000,0.003417707999687991,0
BucketSort,464,1000,0.00014458399891736917,0
RadixSort,464,1000,0.0004287089996068971,0
CustomSort1,464,1000,0.001863499999672058,0
CustomSort2,464,1000,0.0011070410000684205,0
MergeSort,893,1000,0.0013980000003357418,0
QuickSort,893,1000,0.0010172910006076563,0
InsertionSort,893,1000,0.014172709001286421,0
ShellSort1,893,1000,0.005018583000492072,0
ShellSort2,893,1000,0.0037799170004291227,0
BucketSort,893,1000,0.0001510420006525237,0
RadixSort,893,1000,0.000578332999793929,0
CustomSort1,893,1000,0.0019429170006333152,0
CustomSort2,893,1000,0.0010986249999405118,0
MergeSort,942,1000,0.0013465419997373829,0
QuickSort,942,1000,0.0010671249983715825,0
InsertionSort,942,1000,0.014344625000376254,0
ShellSort1,942,1000,0.005045040999902994,0
ShellSort2,942,1000,0.0030282910011010244,0
BucketSort,942,1000,0.00016608300029474776,0
RadixSort,942,1000,0.0005782500011264347,0
CustomSort1,942,1000,0.0018813330007105833,0
CustomSort2,942,1000,0.0011070000000472646,0
MergeSort,260,2000,0.0030076660004851874,0
QuickSort,260,2000,0.0023294579987123143,0
InsertionSort,260,2000,0.059765916999822366,0
ShellSort1,260,2000,0.018602916999952868,0
ShellSort2,260,2000,0.009401916000570054,0
BucketSort,260,2000,0.00030441699891525786,0
RadixSort,260,2000,0.0011113750006188639,0
CustomSort1,260,2000,0.005911000000196509,0
CustomSort2,260,2000,0.0024819999998726416,0
MergeSort,883,2000,0.0029477919997589197,0
QuickSort,883,2000,0.002090874999339576,0
InsertionSort,883,2000,0.059504458999072085,0
ShellSort1,883,2000,0.01866754100046819,0
ShellSort2,883,2000,0.010384832999989158,0
BucketSort,883,2000,0.000295583999104565,0
RadixSort,883,2000,0.00109787499968661,0
CustomSort1,883,2000,0.005762374999903841,0
CustomSort2,883,2000,0.002442791999783367,0
MergeSort,464,2000,0.0029596669992315583,0
QuickSort,464,2000,0.002165791998777422,0
InsertionSort,464,2000,0.05898200000046927,0
ShellSort1,464,2000,0.018534374999944703,0
ShellSort2,464,2000,0.011447082999438862,0
BucketSort,464,2000,0.00034137500006181654,0
RadixSort,464,2000,0.0011386669993953547,0
CustomSort1,464,2000,0.005875374999959604,0
CustomSort2,464,2000,0.002515292000680347,0
MergeSort,893,2000,0.002996790999532095,0
QuickSort,893,2000,0.002215208000052371,0
InsertionSort,893,2000,0.061443374999726075,0
ShellSort1,893,2000,0.018843040999854566,0
ShellSort2,893,2000,0.010559959000602248,0
BucketSort,893,2000,0.00029562499912572093,0
RadixSort,893,2000,0.0011024579998775152,0
CustomSort1,893,2000,0.0057522499992046505,0
